Number,Incident.Type,Creation.Date,Latitude,Longitude,Total.population,One.race.1,White,Black.or.African.American,American.Indian.and.Alaska.Native,Asian,Hispanic.or.Latino..of.any.race.,Median.household.income..dollars.,groupedtype,newBorough
115,Law Enforcement-Suspicious Package,41937.40917,40.78392,-73.96584,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
116,Law Enforcement-Suspicious Package,41937.35353,40.76386337,-73.98615417,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
117,Law Enforcement-Suspicious Package,41936.83161,40.76804662,-73.98248906,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
118,Law Enforcement-Device,41936.53476,40.71952192,-74.00168516,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
119,Law Enforcement-Suspicious Package,41936.22035,40.71962317,-74.01022806,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
120,Fire-2nd Alarm,41929.75479,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
121,Law Enforcement-Suspicious Package,41935.42736,40.76804662,-73.98248906,"8,622,698","8,329,402","3,635,789","2,094,132","35,124","1,252,589","2,517,429","60,879",Law,NEW YORK CITY
122,Fire-10-76 (Commercial High Rise Fire),41934.59612,40.75688873,-73.97430711,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
123,Fire-6th Alarm,41914.09946,40.72964971,-73.98376561,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
124,Law Enforcement-Suspicious Package,41927.84219,40.734792,-73.990701,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Law,BROOKLYN
125,Fire-1st Alarm,41926.59914,40.7618521,-73.91071601,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
126,Fire-Other,41923.53501,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
127,Fire-Hospital,41923.55887,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
128,Fire-Other,41922.61617,40.74362921,-73.97709237,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
