YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
FY 2012,False Alarm,Staten Island,2018,4:38
FY 2012,False Alarm,Brooklyn,4708,4:00
FY 2012,False Alarm,Queens,5211,4:39
FY 2012,Medical Emergencies,New York City,215511,4:11
FY 2012,Medical Emergencies,Manhattan,57474,4:17
FY 2012,Medical Emergencies,Bronx,40069,4:18
FY 2012,Medical Emergencies,Staten Island,10630,4:23
FY 2012,Medical Emergencies,Brooklyn,62395,3:49
FY 2012,Medical Emergencies,Queens,44943,4:24
FY 2012,Medical False Alarm,New York City,3561,4:12
FY 2012,Medical False Alarm,Manhattan,978,4:20
FY 2012,Medical False Alarm,Bronx,742,4:30
FY 2012,Medical False Alarm,Staten Island,135,4:14
FY 2012,Medical False Alarm,Brooklyn,1060,3:48
FY 2012,Medical False Alarm,Queens,646,4:20
FY 2012,NonMedical Emergencies,New York City,206783,5:01
FY 2012,NonMedical Emergencies,Manhattan,55484,5:06
FY 2012,NonMedical Emergencies,Bronx,42143,5:17
FY 2012,NonMedical Emergencies,Staten Island,12001,5:05
FY 2012,NonMedical Emergencies,Brooklyn,57603,4:34
FY 2012,NonMedical Emergencies,Queens,39552,5:16
FY 2012,NonStructural Fires,New York City,14580,4:21
FY 2012,NonStructural Fires,Manhattan,3567,4:25
FY 2012,NonStructural Fires,Bronx,2328,4:43
FY 2012,NonStructural Fires,Staten Island,925,4:38
FY 2012,NonStructural Fires,Brooklyn,4522,3:53
FY 2012,NonStructural Fires,Queens,3238,4:36
FY 2012,Structural Fires,New York City,25254,4:01
FY 2012,Structural Fires,Manhattan,5734,4:10
FY 2012,Structural Fires,Bronx,5511,4:08
FY 2012,Structural Fires,Staten Island,1273,4:29
FY 2012,Structural Fires,Brooklyn,7974,3:34
FY 2012,Structural Fires,Queens,4762,4:19
FY 2011,All Fire/Emergency Incidents,New York City,493146,4:40
FY 2011,All Fire/Emergency Incidents,Manhattan,128195,4:44
FY 2011,All Fire/Emergency Incidents,Bronx,97750,4:50
FY 2011,All Fire/Emergency Incidents,Staten Island,25857,4:49
FY 2011,All Fire/Emergency Incidents,Brooklyn,139278,4:13
FY 2011,All Fire/Emergency Incidents,Queens,102066,5:00
FY 2011,False Alarm,New York City,24693,4:30
FY 2011,False Alarm,Manhattan,5022,4:36
FY 2011,False Alarm,Bronx,6447,4:39
FY 2011,False Alarm,Staten Island,1936,4:22
FY 2011,False Alarm,Brooklyn,4990,4:03
FY 2011,False Alarm,Queens,6298,4:38
FY 2011,Medical Emergencies,New York City,212737,4:20
FY 2011,Medical Emergencies,Manhattan,56114,4:25
FY 2011,Medical Emergencies,Bronx,39660,4:30
FY 2011,Medical Emergencies,Staten Island,10440,4:33
FY 2011,Medical Emergencies,Brooklyn,61562,3:58
FY 2011,Medical Emergencies,Queens,44961,4:35
FY 2011,Medical False Alarm,New York City,4250,4:20
FY 2011,Medical False Alarm,Manhattan,1099,4:18
FY 2011,Medical False Alarm,Bronx,873,4:42
FY 2011,Medical False Alarm,Staten Island,174,4:22
FY 2011,Medical False Alarm,Brooklyn,1261,3:54
FY 2011,Medical False Alarm,Queens,843,4:37
FY 2011,NonMedical Emergencies,New York City,207572,5:03
FY 2011,NonMedical Emergencies,Manhattan,55835,5:03
FY 2011,NonMedical Emergencies,Bronx,42272,5:12
FY 2011,NonMedical Emergencies,Staten Island,10932,5:08
FY 2011,NonMedical Emergencies,Brooklyn,57539,4:34
FY 2011,NonMedical Emergencies,Queens,40994,5:32
FY 2011,NonStructural Fires,New York City,17462,4:29
FY 2011,NonStructural Fires,Manhattan,4138,4:23
FY 2011,NonStructural Fires,Bronx,2679,4:42
FY 2011,NonStructural Fires,Staten Island,1106,5:06
FY 2011,NonStructural Fires,Brooklyn,5428,4:02
FY 2011,NonStructural Fires,Queens,4111,4:52
FY 2011,Structural Fires,New York City,26432,4:03
FY 2011,Structural Fires,Manhattan,5987,4:09
FY 2011,Structural Fires,Bronx,5819,4:11
FY 2011,Structural Fires,Staten Island,1269,4:34
FY 2011,Structural Fires,Brooklyn,8498,3:37
