YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2013/10,All Fire/Emergency Incidents,Brooklyn,11331,4:11
2013/10,All Fire/Emergency Incidents,Queens,7781,4:44
2013/10,False Alarm,New York City,1628,4:35
2013/10,False Alarm,Manhattan,366,5:02
2013/10,False Alarm,Bronx,377,4:41
2013/10,False Alarm,Staten Island,108,4:45
2013/10,False Alarm,Brooklyn,380,4:06
2013/10,False Alarm,Queens,397,4:29
2013/10,Medical Emergencies,New York City,18852,4:17
2013/10,Medical Emergencies,Manhattan,5292,4:25
2013/10,Medical Emergencies,Bronx,3444,4:26
2013/10,Medical Emergencies,Staten Island,837,4:39
2013/10,Medical Emergencies,Brooklyn,5555,3:56
2013/10,Medical Emergencies,Queens,3724,4:24
2013/10,Medical False Alarm,New York City,302,4:15
2013/10,Medical False Alarm,Manhattan,89,4:31
2013/10,Medical False Alarm,Bronx,49,4:47
2013/10,Medical False Alarm,Staten Island,13,3:54
2013/10,Medical False Alarm,Brooklyn,99,3:47
2013/10,Medical False Alarm,Queens,52,4:17
2013/10,NonMedical Emergencies,New York City,15846,5:06
2013/10,NonMedical Emergencies,Manhattan,4605,5:19
2013/10,NonMedical Emergencies,Bronx,3154,5:22
2013/10,NonMedical Emergencies,Staten Island,797,5:13
2013/10,NonMedical Emergencies,Brooklyn,4346,4:34
2013/10,NonMedical Emergencies,Queens,2944,5:11
2013/10,NonStructural Fires,New York City,1108,4:21
2013/10,NonStructural Fires,Manhattan,257,4:17
2013/10,NonStructural Fires,Bronx,170,5:03
2013/10,NonStructural Fires,Staten Island,80,4:24
2013/10,NonStructural Fires,Brooklyn,325,4:01
2013/10,NonStructural Fires,Queens,276,4:21
2013/10,Structural Fires,New York City,2061,4:05
2013/10,Structural Fires,Manhattan,458,4:12
2013/10,Structural Fires,Bronx,483,4:10
2013/10,Structural Fires,Staten Island,106,4:28
2013/10,Structural Fires,Brooklyn,626,3:38
2013/10,Structural Fires,Queens,388,4:26
2013/09,All Fire/Emergency Incidents,New York City,38904,4:38
2013/09,All Fire/Emergency Incidents,Manhattan,10720,4:50
2013/09,All Fire/Emergency Incidents,Bronx,7715,4:53
2013/09,All Fire/Emergency Incidents,Staten Island,1840,4:51
2013/09,All Fire/Emergency Incidents,Brooklyn,10988,4:09
2013/09,All Fire/Emergency Incidents,Queens,7641,4:45
2013/09,False Alarm,New York City,1678,4:32
2013/09,False Alarm,Manhattan,399,4:56
2013/09,False Alarm,Bronx,411,4:45
2013/09,False Alarm,Staten Island,117,4:21
2013/09,False Alarm,Brooklyn,408,3:59
2013/09,False Alarm,Queens,343,4:30
2013/09,Medical Emergencies,New York City,18561,4:15
2013/09,Medical Emergencies,Manhattan,5233,4:24
2013/09,Medical Emergencies,Bronx,3357,4:24
2013/09,Medical Emergencies,Staten Island,811,4:36
2013/09,Medical Emergencies,Brooklyn,5385,3:52
2013/09,Medical Emergencies,Queens,3775,4:25
2013/09,Medical False Alarm,New York City,281,4:09
2013/09,Medical False Alarm,Manhattan,70,4:06
2013/09,Medical False Alarm,Bronx,51,4:25
2013/09,Medical False Alarm,Staten Island,10,4:23
2013/09,Medical False Alarm,Brooklyn,108,3:55
2013/09,Medical False Alarm,Queens,42,4:28
2013/09,NonMedical Emergencies,New York City,15316,5:06
2013/09,NonMedical Emergencies,Manhattan,4345,5:17
2013/09,NonMedical Emergencies,Bronx,3198,5:23
2013/09,NonMedical Emergencies,Staten Island,756,5:11
2013/09,NonMedical Emergencies,Brooklyn,4198,4:34
2013/09,NonMedical Emergencies,Queens,2819,5:14
2013/09,NonStructural Fires,New York City,1056,4:19
2013/09,NonStructural Fires,Manhattan,250,4:25
2013/09,NonStructural Fires,Bronx,201,4:31
2013/09,NonStructural Fires,Staten Island,51,4:56
2013/09,NonStructural Fires,Brooklyn,313,3:49
2013/09,NonStructural Fires,Queens,241,4:31
2013/09,Structural Fires,New York City,2012,4:08
2013/09,Structural Fires,Manhattan,423,4:14
2013/09,Structural Fires,Bronx,497,4:19
2013/09,Structural Fires,Staten Island,95,4:34
2013/09,Structural Fires,Brooklyn,576,3:41
2013/09,Structural Fires,Queens,421,4:22
2013/08,All Fire/Emergency Incidents,New York City,41416,4:37
2013/08,All Fire/Emergency Incidents,Manhattan,11429,4:52
2013/08,All Fire/Emergency Incidents,Bronx,8303,4:51
2013/08,All Fire/Emergency Incidents,Staten Island,2078,4:46
2013/08,All Fire/Emergency Incidents,Brooklyn,11586,4:09
2013/08,All Fire/Emergency Incidents,Queens,8020,4:42
2013/08,False Alarm,New York City,1906,4:34
2013/08,False Alarm,Manhattan,413,4:48
2013/08,False Alarm,Bronx,526,4:45
2013/08,False Alarm,Staten Island,145,4:45
2013/08,False Alarm,Brooklyn,461,4:03
2013/08,False Alarm,Queens,361,4:40
2013/08,Medical Emergencies,New York City,20009,4:14
2013/08,Medical Emergencies,Manhattan,5590,4:25
2013/08,Medical Emergencies,Bronx,3732,4:22
2013/08,Medical Emergencies,Staten Island,940,4:29
2013/08,Medical Emergencies,Brooklyn,5768,3:51
2013/08,Medical Emergencies,Queens,3979,4:23
2013/08,Medical False Alarm,New York City,333,4:29
2013/08,Medical False Alarm,Manhattan,85,4:38
2013/08,Medical False Alarm,Bronx,70,4:45
2013/08,Medical False Alarm,Staten Island,17,4:52
2013/08,Medical False Alarm,Brooklyn,106,4:04
2013/08,Medical False Alarm,Queens,55,4:37
2013/08,NonMedical Emergencies,New York City,16209,5:04
2013/08,NonMedical Emergencies,Manhattan,4637,5:19
2013/08,NonMedical Emergencies,Bronx,3347,5:22
2013/08,NonMedical Emergencies,Staten Island,817,5:04
2013/08,NonMedical Emergencies,Brooklyn,4370,4:35
2013/08,NonMedical Emergencies,Queens,3038,5:05
2013/08,NonStructural Fires,New York City,1083,4:22
2013/08,NonStructural Fires,Manhattan,300,4:23
2013/08,NonStructural Fires,Bronx,197,4:51
2013/08,NonStructural Fires,Staten Island,63,4:31
2013/08,NonStructural Fires,Brooklyn,278,3:56
2013/08,NonStructural Fires,Queens,245,4:26
2013/08,Structural Fires,New York City,1876,4:02
2013/08,Structural Fires,Manhattan,404,4:08
2013/08,Structural Fires,Bronx,431,4:10
2013/08,Structural Fires,Staten Island,96,4:34
2013/08,Structural Fires,Brooklyn,603,3:34
2013/08,Structural Fires,Queens,342,4:25
2013/07,All Fire/Emergency Incidents,New York City,46222,4:45
2013/07,All Fire/Emergency Incidents,Manhattan,12420,4:56
2013/07,All Fire/Emergency Incidents,Bronx,9600,5:01
2013/07,All Fire/Emergency Incidents,Staten Island,2283,4:50
2013/07,All Fire/Emergency Incidents,Brooklyn,12833,4:17
2013/07,All Fire/Emergency Incidents,Queens,9086,4:54
2013/07,False Alarm,New York City,2172,4:38
2013/07,False Alarm,Manhattan,459,4:40
2013/07,False Alarm,Bronx,606,4:47
2013/07,False Alarm,Staten Island,173,4:39
2013/07,False Alarm,Brooklyn,481,4:06
2013/07,False Alarm,Queens,453,4:55
2013/07,Medical Emergencies,New York City,20854,4:17
2013/07,Medical Emergencies,Manhattan,5732,4:26
2013/07,Medical Emergencies,Bronx,4035,4:22
2013/07,Medical Emergencies,Staten Island,971,4:26
2013/07,Medical Emergencies,Brooklyn,6020,3:57
2013/07,Medical Emergencies,Queens,4096,4:29
2013/07,Medical False Alarm,New York City,417,4:11
2013/07,Medical False Alarm,Manhattan,108,4:06
2013/07,Medical False Alarm,Bronx,87,4:32
2013/07,Medical False Alarm,Staten Island,23,4:17
2013/07,Medical False Alarm,Brooklyn,128,3:39
2013/07,Medical False Alarm,Queens,71,4:49
2013/07,NonMedical Emergencies,New York City,19609,5:15
2013/07,NonMedical Emergencies,Manhattan,5424,5:22
2013/07,NonMedical Emergencies,Bronx,4242,5:37
2013/07,NonMedical Emergencies,Staten Island,947,5:13
2013/07,NonMedical Emergencies,Brooklyn,5265,4:45
2013/07,NonMedical Emergencies,Queens,3731,5:21
2013/07,NonStructural Fires,New York City,1263,4:22
2013/07,NonStructural Fires,Manhattan,288,4:43
2013/07,NonStructural Fires,Bronx,217,4:41
2013/07,NonStructural Fires,Staten Island,58,4:58
2013/07,NonStructural Fires,Brooklyn,363,3:48
2013/07,NonStructural Fires,Queens,337,4:25
2013/07,Structural Fires,New York City,1907,4:07
2013/07,Structural Fires,Manhattan,409,4:19
2013/07,Structural Fires,Bronx,413,4:18
2013/07,Structural Fires,Staten Island,111,4:35
2013/07,Structural Fires,Brooklyn,576,3:32
2013/07,Structural Fires,Queens,398,4:27
2013/06,All Fire/Emergency Incidents,New York City,42413,4:44
2013/06,All Fire/Emergency Incidents,Manhattan,11690,4:55
2013/06,All Fire/Emergency Incidents,Bronx,8244,5:00
2013/06,All Fire/Emergency Incidents,Staten Island,2229,4:52
2013/06,All Fire/Emergency Incidents,Brooklyn,11832,4:16
2013/06,All Fire/Emergency Incidents,Queens,8418,4:53
2013/06,False Alarm,New York City,2012,4:42
2013/06,False Alarm,Manhattan,440,5:01
2013/06,False Alarm,Bronx,482,4:53
2013/06,False Alarm,Staten Island,170,4:58
2013/06,False Alarm,Brooklyn,413,4:07
2013/06,False Alarm,Queens,507,4:40
2013/06,Medical Emergencies,New York City,19923,4:14
2013/06,Medical Emergencies,Manhattan,5567,4:22
2013/06,Medical Emergencies,Bronx,3616,4:24
2013/06,Medical Emergencies,Staten Island,958,4:28
2013/06,Medical Emergencies,Brooklyn,5880,3:52
2013/06,Medical Emergencies,Queens,3902,4:26
2013/06,Medical False Alarm,New York City,426,4:19
2013/06,Medical False Alarm,Manhattan,126,4:28
2013/06,Medical False Alarm,Bronx,88,4:34
2013/06,Medical False Alarm,Staten Island,14,4:22
2013/06,Medical False Alarm,Brooklyn,126,3:59
2013/06,Medical False Alarm,Queens,72,4:23
2013/06,NonMedical Emergencies,New York City,17145,5:18
2013/06,NonMedical Emergencies,Manhattan,4855,5:26
2013/06,NonMedical Emergencies,Bronx,3496,5:35
2013/06,NonMedical Emergencies,Staten Island,925,5:16
2013/06,NonMedical Emergencies,Brooklyn,4538,4:50
2013/06,NonMedical Emergencies,Queens,3331,5:26
2013/06,NonStructural Fires,New York City,1055,4:21
2013/06,NonStructural Fires,Manhattan,267,4:23
2013/06,NonStructural Fires,Bronx,164,4:35
2013/06,NonStructural Fires,Staten Island,64,4:25
2013/06,NonStructural Fires,Brooklyn,293,3:52
2013/06,NonStructural Fires,Queens,267,4:41
2013/06,Structural Fires,New York City,1852,4:09
2013/06,Structural Fires,Manhattan,435,4:22
2013/06,Structural Fires,Bronx,398,4:19
2013/06,Structural Fires,Staten Island,98,4:30
2013/06,Structural Fires,Brooklyn,582,3:35
2013/06,Structural Fires,Queens,339,4:37
2013/05,All Fire/Emergency Incidents,New York City,41074,4:40
2013/05,All Fire/Emergency Incidents,Manhattan,11150,4:52
2013/05,All Fire/Emergency Incidents,Bronx,8127,4:51
2013/05,All Fire/Emergency Incidents,Staten Island,2091,4:54
2013/05,All Fire/Emergency Incidents,Brooklyn,11738,4:13
2013/05,All Fire/Emergency Incidents,Queens,7968,4:48
2013/05,False Alarm,New York City,1751,4:38
2013/05,False Alarm,Manhattan,386,4:55
2013/05,False Alarm,Bronx,437,4:38
2013/05,False Alarm,Staten Island,143,5:05
2013/05,False Alarm,Brooklyn,371,4:05
2013/05,False Alarm,Queens,414,4:44
2013/05,Medical Emergencies,New York City,19232,4:12
2013/05,Medical Emergencies,Manhattan,5328,4:20
2013/05,Medical Emergencies,Bronx,3654,4:18
2013/05,Medical Emergencies,Staten Island,924,4:32
2013/05,Medical Emergencies,Brooklyn,5647,3:52
2013/05,Medical Emergencies,Queens,3679,4:23
2013/05,Medical False Alarm,New York City,305,4:24
2013/05,Medical False Alarm,Manhattan,90,4:27
2013/05,Medical False Alarm,Bronx,67,4:31
2013/05,Medical False Alarm,Staten Island,15,4:02
2013/05,Medical False Alarm,Brooklyn,85,4:07
2013/05,Medical False Alarm,Queens,48,4:46
2013/05,NonMedical Emergencies,New York City,16503,5:10
2013/05,NonMedical Emergencies,Manhattan,4563,5:22
2013/05,NonMedical Emergencies,Bronx,3329,5:27
2013/05,NonMedical Emergencies,Staten Island,828,5:14
2013/05,NonMedical Emergencies,Brooklyn,4647,4:41
2013/05,NonMedical Emergencies,Queens,3136,5:16
2013/05,NonStructural Fires,New York City,1135,4:24
2013/05,NonStructural Fires,Manhattan,277,4:33
2013/05,NonStructural Fires,Bronx,182,4:32
2013/05,NonStructural Fires,Staten Island,55,5:19
2013/05,NonStructural Fires,Brooklyn,347,3:57
2013/05,NonStructural Fires,Queens,274,4:35
2013/05,Structural Fires,New York City,2148,4:10
2013/05,Structural Fires,Manhattan,506,4:19
2013/05,Structural Fires,Bronx,458,4:15
2013/05,Structural Fires,Staten Island,126,4:35
2013/05,Structural Fires,Brooklyn,641,3:40
2013/05,Structural Fires,Queens,417,4:30
2013/04,All Fire/Emergency Incidents,New York City,36643,4:38
2013/04,All Fire/Emergency Incidents,Manhattan,9935,4:47
2013/04,All Fire/Emergency Incidents,Bronx,7304,4:48
2013/04,All Fire/Emergency Incidents,Staten Island,1926,4:52
2013/04,All Fire/Emergency Incidents,Brooklyn,10390,4:13
2013/04,All Fire/Emergency Incidents,Queens,7088,4:46
2013/04,False Alarm,New York City,1500,4:36
2013/04,False Alarm,Manhattan,322,4:39
2013/04,False Alarm,Bronx,349,4:54
2013/04,False Alarm,Staten Island,150,4:51
2013/04,False Alarm,Brooklyn,341,4:02
2013/04,False Alarm,Queens,338,4:41
2013/04,Medical Emergencies,New York City,16998,4:15
2013/04,Medical Emergencies,Manhattan,4693,4:21
2013/04,Medical Emergencies,Bronx,3199,4:19
2013/04,Medical Emergencies,Staten Island,840,4:41
2013/04,Medical Emergencies,Brooklyn,4926,3:56
2013/04,Medical Emergencies,Queens,3340,4:25
2013/04,Medical False Alarm,New York City,217,4:14
2013/04,Medical False Alarm,Manhattan,64,4:38
2013/04,Medical False Alarm,Bronx,51,4:12
2013/04,Medical False Alarm,Staten Island,2,5:45
2013/04,Medical False Alarm,Brooklyn,66,3:45
2013/04,Medical False Alarm,Queens,34,4:17
2013/04,NonMedical Emergencies,New York City,14589,5:04
2013/04,NonMedical Emergencies,Manhattan,4010,5:14
2013/04,NonMedical Emergencies,Bronx,3056,5:18
2013/04,NonMedical Emergencies,Staten Island,748,5:01
2013/04,NonMedical Emergencies,Brooklyn,4074,4:39
2013/04,NonMedical Emergencies,Queens,2701,5:12
2013/04,NonStructural Fires,New York City,1316,4:33
2013/04,NonStructural Fires,Manhattan,340,4:30
2013/04,NonStructural Fires,Bronx,208,4:54
2013/04,NonStructural Fires,Staten Island,98,5:32
2013/04,NonStructural Fires,Brooklyn,379,3:56
2013/04,NonStructural Fires,Queens,291,4:53
2013/04,Structural Fires,New York City,2023,4:00
2013/04,Structural Fires,Manhattan,506,4:13
2013/04,Structural Fires,Bronx,441,4:03
2013/04,Structural Fires,Staten Island,88,4:22
2013/04,Structural Fires,Brooklyn,604,3:35
2013/04,Structural Fires,Queens,384,4:17
2013/03,All Fire/Emergency Incidents,New York City,37209,4:38
2013/03,All Fire/Emergency Incidents,Manhattan,9773,4:49
2013/03,All Fire/Emergency Incidents,Bronx,7430,4:52
2013/03,All Fire/Emergency Incidents,Staten Island,1973,4:42
2013/03,All Fire/Emergency Incidents,Brooklyn,10725,4:10
2013/03,All Fire/Emergency Incidents,Queens,7308,4:49
2013/03,False Alarm,New York City,1397,4:31
2013/03,False Alarm,Manhattan,339,4:36
2013/03,False Alarm,Bronx,329,4:58
2013/03,False Alarm,Staten Island,113,4:40
2013/03,False Alarm,Brooklyn,325,3:51
2013/03,False Alarm,Queens,291,4:36
2013/03,Medical Emergencies,New York City,17082,4:19
2013/03,Medical Emergencies,Manhattan,4433,4:30
2013/03,Medical Emergencies,Bronx,3346,4:24
2013/03,Medical Emergencies,Staten Island,910,4:32
2013/03,Medical Emergencies,Brooklyn,4925,3:58
2013/03,Medical Emergencies,Queens,3468,4:31
2013/03,Medical False Alarm,New York City,251,4:07
2013/03,Medical False Alarm,Manhattan,58,4:17
2013/03,Medical False Alarm,Bronx,56,4:21
2013/03,Medical False Alarm,Staten Island,14,3:46
2013/03,Medical False Alarm,Brooklyn,78,3:47
2013/03,Medical False Alarm,Queens,45,4:20
2013/03,NonMedical Emergencies,New York City,14863,5:03
2013/03,NonMedical Emergencies,Manhattan,4032,5:12
2013/03,NonMedical Emergencies,Bronx,3064,5:23
2013/03,NonMedical Emergencies,Staten Island,762,4:58
2013/03,NonMedical Emergencies,Brooklyn,4179,4:33
2013/03,NonMedical Emergencies,Queens,2826,5:13
2013/03,NonStructural Fires,New York City,1300,4:21
2013/03,NonStructural Fires,Manhattan,336,4:27
2013/03,NonStructural Fires,Bronx,156,4:46
2013/03,NonStructural Fires,Staten Island,61,4:33
2013/03,NonStructural Fires,Brooklyn,466,3:52
2013/03,NonStructural Fires,Queens,281,4:33
2013/03,Structural Fires,New York City,2316,4:00
2013/03,Structural Fires,Manhattan,575,4:10
2013/03,Structural Fires,Bronx,479,4:00
2013/03,Structural Fires,Staten Island,113,4:20
2013/03,Structural Fires,Brooklyn,752,3:35
2013/03,Structural Fires,Queens,397,4:29
2013/02,All Fire/Emergency Incidents,New York City,35050,4:44
2013/02,All Fire/Emergency Incidents,Manhattan,9142,4:53
2013/02,All Fire/Emergency Incidents,Bronx,7076,4:57
2013/02,All Fire/Emergency Incidents,Staten Island,1781,5:04
2013/02,All Fire/Emergency Incidents,Brooklyn,10141,4:18
2013/02,All Fire/Emergency Incidents,Queens,6910,4:55
2013/02,False Alarm,New York City,1221,4:38
2013/02,False Alarm,Manhattan,269,4:50
2013/02,False Alarm,Bronx,296,4:45
2013/02,False Alarm,Staten Island,92,5:03
2013/02,False Alarm,Brooklyn,290,4:04
2013/02,False Alarm,Queens,274,4:46
2013/02,Medical Emergencies,New York City,15253,4:22
2013/02,Medical Emergencies,Manhattan,3922,4:25
2013/02,Medical Emergencies,Bronx,2999,4:32
2013/02,Medical Emergencies,Staten Island,775,4:35
2013/02,Medical Emergencies,Brooklyn,4473,4:02
2013/02,Medical Emergencies,Queens,3084,4:35
2013/02,Medical False Alarm,New York City,179,4:20
2013/02,Medical False Alarm,Manhattan,31,4:53
2013/02,Medical False Alarm,Bronx,44,4:37
2013/02,Medical False Alarm,Staten Island,8,4:14
2013/02,Medical False Alarm,Brooklyn,58,3:56
2013/02,Medical False Alarm,Queens,38,4:11
2013/02,NonMedical Emergencies,New York City,15012,5:10
2013/02,NonMedical Emergencies,Manhattan,4025,5:18
2013/02,NonMedical Emergencies,Bronx,3111,5:24
2013/02,NonMedical Emergencies,Staten Island,810,5:32
2013/02,NonMedical Emergencies,Brooklyn,4223,4:42
2013/02,NonMedical Emergencies,Queens,2843,5:19
2013/02,NonStructural Fires,New York City,1447,4:23
2013/02,NonStructural Fires,Manhattan,426,4:40
2013/02,NonStructural Fires,Bronx,194,4:34
2013/02,NonStructural Fires,Staten Island,25,4:38
2013/02,NonStructural Fires,Brooklyn,475,3:51
2013/02,NonStructural Fires,Queens,327,4:42
2013/02,Structural Fires,New York City,1938,4:06
2013/02,Structural Fires,Manhattan,469,4:16
2013/02,Structural Fires,Bronx,432,4:08
2013/02,Structural Fires,Staten Island,71,4:26
2013/02,Structural Fires,Brooklyn,622,3:41
2013/02,Structural Fires,Queens,344,4:30
2013/01,All Fire/Emergency Incidents,New York City,40856,4:46
2013/01,All Fire/Emergency Incidents,Manhattan,10609,4:51
2013/01,All Fire/Emergency Incidents,Bronx,7715,4:57
2013/01,All Fire/Emergency Incidents,Staten Island,2246,5:10
2013/01,All Fire/Emergency Incidents,Brooklyn,11999,4:21
2013/01,All Fire/Emergency Incidents,Queens,8287,5:00
2013/01,False Alarm,New York City,1299,4:41
2013/01,False Alarm,Manhattan,292,4:46
2013/01,False Alarm,Bronx,307,4:51
2013/01,False Alarm,Staten Island,110,5:03
2013/01,False Alarm,Brooklyn,345,4:09
2013/01,False Alarm,Queens,245,5:00
2013/01,Medical Emergencies,New York City,17708,4:18
2013/01,Medical Emergencies,Manhattan,4534,4:26
2013/01,Medical Emergencies,Bronx,3292,4:29
2013/01,Medical Emergencies,Staten Island,865,4:33
2013/01,Medical Emergencies,Brooklyn,5330,3:57
2013/01,Medical Emergencies,Queens,3687,4:31
2013/01,Medical False Alarm,New York City,201,4:19
2013/01,Medical False Alarm,Manhattan,32,4:03
2013/01,Medical False Alarm,Bronx,48,4:59
2013/01,Medical False Alarm,Staten Island,15,4:15
2013/01,Medical False Alarm,Brooklyn,69,3:58
2013/01,Medical False Alarm,Queens,37,4:25
2013/01,NonMedical Emergencies,New York City,18431,5:14
2013/01,NonMedical Emergencies,Manhattan,4971,5:14
2013/01,NonMedical Emergencies,Bronx,3434,5:25
2013/01,NonMedical Emergencies,Staten Island,1086,5:38
2013/01,NonMedical Emergencies,Brooklyn,5306,4:49
2013/01,NonMedical Emergencies,Queens,3634,5:31
2013/01,NonStructural Fires,New York City,1045,4:18
2013/01,NonStructural Fires,Manhattan,277,4:19
2013/01,NonStructural Fires,Bronx,191,4:31
2013/01,NonStructural Fires,Staten Island,62,5:11
2013/01,NonStructural Fires,Brooklyn,272,3:51
2013/01,NonStructural Fires,Queens,243,4:24
2013/01,Structural Fires,New York City,2172,3:58
2013/01,Structural Fires,Manhattan,503,4:05
2013/01,Structural Fires,Bronx,443,4:05
2013/01,Structural Fires,Staten Island,108,4:29
2013/01,Structural Fires,Brooklyn,677,3:33
2013/01,Structural Fires,Queens,441,4:14
2012/12,All Fire/Emergency Incidents,New York City,40296,4:42
2012/12,All Fire/Emergency Incidents,Manhattan,10447,4:53
2012/12,All Fire/Emergency Incidents,Bronx,7838,4:53
2012/12,All Fire/Emergency Incidents,Staten Island,2272,4:58
2012/12,All Fire/Emergency Incidents,Brooklyn,11380,4:14
2012/12,All Fire/Emergency Incidents,Queens,8359,4:54
2012/12,False Alarm,New York City,1451,4:41
2012/12,False Alarm,Manhattan,327,4:51
2012/12,False Alarm,Bronx,369,4:55
2012/12,False Alarm,Staten Island,104,4:45
2012/12,False Alarm,Brooklyn,356,4:11
2012/12,False Alarm,Queens,295,4:47
2012/12,Medical Emergencies,New York City,18147,4:22
2012/12,Medical Emergencies,Manhattan,4892,4:33
2012/12,Medical Emergencies,Bronx,3309,4:27
2012/12,Medical Emergencies,Staten Island,954,4:36
2012/12,Medical Emergencies,Brooklyn,5200,3:58
2012/12,Medical Emergencies,Queens,3792,4:35
2012/12,Medical False Alarm,New York City,268,4:14
2012/12,Medical False Alarm,Manhattan,70,4:34
2012/12,Medical False Alarm,Bronx,50,4:10
2012/12,Medical False Alarm,Staten Island,3,5:03
2012/12,Medical False Alarm,Brooklyn,83,3:42
2012/12,Medical False Alarm,Queens,62,4:36
2012/12,NonMedical Emergencies,New York City,17209,5:04
2012/12,NonMedical Emergencies,Manhattan,4408,5:14
2012/12,NonMedical Emergencies,Bronx,3475,5:17
2012/12,NonMedical Emergencies,Staten Island,1055,5:21
2012/12,NonMedical Emergencies,Brooklyn,4733,4:35
2012/12,NonMedical Emergencies,Queens,3538,5:14
2012/12,NonStructural Fires,New York City,855,4:26
2012/12,NonStructural Fires,Manhattan,237,4:35
2012/12,NonStructural Fires,Bronx,123,4:55
2012/12,NonStructural Fires,Staten Island,35,4:23
2012/12,NonStructural Fires,Brooklyn,257,3:57
2012/12,NonStructural Fires,Queens,203,4:37
2012/12,Structural Fires,New York City,2366,4:04
2012/12,Structural Fires,Manhattan,513,4:10
2012/12,Structural Fires,Bronx,512,4:08
2012/12,Structural Fires,Staten Island,121,4:32
2012/12,Structural Fires,Brooklyn,751,3:39
2012/12,Structural Fires,Queens,469,4:27
2012/11,All Fire/Emergency Incidents,New York City,47246,5:06
2012/11,All Fire/Emergency Incidents,Manhattan,10745,4:53
2012/11,All Fire/Emergency Incidents,Bronx,8090,4:58
2012/11,All Fire/Emergency Incidents,Staten Island,3100,5:18
2012/11,All Fire/Emergency Incidents,Brooklyn,13664,4:39
2012/11,All Fire/Emergency Incidents,Queens,11647,5:50
2012/11,False Alarm,New York City,1710,4:55
2012/11,False Alarm,Manhattan,341,4:58
2012/11,False Alarm,Bronx,367,4:50
2012/11,False Alarm,Staten Island,174,5:05
2012/11,False Alarm,Brooklyn,422,4:26
2012/11,False Alarm,Queens,406,5:23
2012/11,Medical Emergencies,New York City,16426,4:26
2012/11,Medical Emergencies,Manhattan,4234,4:28
2012/11,Medical Emergencies,Bronx,3118,4:28
2012/11,Medical Emergencies,Staten Island,869,4:39
2012/11,Medical Emergencies,Brooklyn,4736,4:07
2012/11,Medical Emergencies,Queens,3469,4:47
2012/11,Medical False Alarm,New York City,242,4:17
2012/11,Medical False Alarm,Manhattan,65,4:31
2012/11,Medical False Alarm,Bronx,47,4:16
2012/11,Medical False Alarm,Staten Island,14,4:04
2012/11,Medical False Alarm,Brooklyn,69,3:46
2012/11,Medical False Alarm,Queens,47,4:51
2012/11,NonMedical Emergencies,New York City,24979,5:33
2012/11,NonMedical Emergencies,Manhattan,5245,5:11
2012/11,NonMedical Emergencies,Bronx,3803,5:24
2012/11,NonMedical Emergencies,Staten Island,1820,5:39
2012/11,NonMedical Emergencies,Brooklyn,7206,5:05
2012/11,NonMedical Emergencies,Queens,6905,6:24
2012/11,NonStructural Fires,New York City,1386,4:43
2012/11,NonStructural Fires,Manhattan,311,4:28
2012/11,NonStructural Fires,Bronx,193,4:56
2012/11,NonStructural Fires,Staten Island,81,4:56
2012/11,NonStructural Fires,Brooklyn,458,4:22
2012/11,NonStructural Fires,Queens,343,5:16
2012/11,Structural Fires,New York City,2503,4:09
2012/11,Structural Fires,Manhattan,549,4:16
2012/11,Structural Fires,Bronx,562,4:13
2012/11,Structural Fires,Staten Island,142,4:41
2012/11,Structural Fires,Brooklyn,773,3:42
2012/11,Structural Fires,Queens,477,4:32
2012/10,All Fire/Emergency Incidents,New York City,46883,5:08
2012/10,All Fire/Emergency Incidents,Manhattan,11079,4:59
2012/10,All Fire/Emergency Incidents,Bronx,8740,5:02
2012/10,All Fire/Emergency Incidents,Staten Island,2898,5:42
2012/10,All Fire/Emergency Incidents,Brooklyn,13713,4:45
2012/10,All Fire/Emergency Incidents,Queens,10453,5:43
2012/10,False Alarm,New York City,1924,4:51
2012/10,False Alarm,Manhattan,420,4:45
2012/10,False Alarm,Bronx,473,4:54
2012/10,False Alarm,Staten Island,132,5:26
2012/10,False Alarm,Brooklyn,427,4:45
2012/10,False Alarm,Queens,472,4:49
2012/10,Medical Emergencies,New York City,18088,4:16
2012/10,Medical Emergencies,Manhattan,4918,4:28
2012/10,Medical Emergencies,Bronx,3343,4:18
2012/10,Medical Emergencies,Staten Island,839,4:46
2012/10,Medical Emergencies,Brooklyn,5391,3:53
2012/10,Medical Emergencies,Queens,3597,4:27
2012/10,Medical False Alarm,New York City,271,4:20
2012/10,Medical False Alarm,Manhattan,78,4:30
2012/10,Medical False Alarm,Bronx,62,4:25
2012/10,Medical False Alarm,Staten Island,9,4:15
2012/10,Medical False Alarm,Brooklyn,71,3:39
2012/10,Medical False Alarm,Queens,51,4:58
2012/10,NonMedical Emergencies,New York City,23024,5:48
2012/10,NonMedical Emergencies,Manhattan,4954,5:26
2012/10,NonMedical Emergencies,Bronx,4231,5:35
2012/10,NonMedical Emergencies,Staten Island,1713,6:12
2012/10,NonMedical Emergencies,Brooklyn,6598,5:28
2012/10,NonMedical Emergencies,Queens,5528,6:34
2012/10,NonStructural Fires,New York City,1217,5:07
2012/10,NonStructural Fires,Manhattan,247,4:44
2012/10,NonStructural Fires,Bronx,159,5:00
2012/10,NonStructural Fires,Staten Island,62,6:14
